meter_serial_number,device_type,attached_to,status,last_creation_time,first_creation_time,state,last_7_days_gallons,dbt_scd_id,dbt_updated_at,property_name,unit_details,developer_name,developer_id,property_id,line_entry_type,bathroom_count,bedroom_count,location
000d6f001456a07d,meter,Bath 1 Cold,meter delayed,2025-06-25 23:07:58.000000 UTC,2023-02-26 15:49:33.000000 UTC,GA,0,5e1639fc3d9f0e123c31bfc5ca0776d8,2025-06-29 08:09:36.871599 UTC,Arbor Lake,Arbor Lake | Clubhouse | Womens Rest | Bath 1 Cold | 0 Bd - 0 Ba | 6a07d,Dominium,1,12,Common Area,0,0,1st stall left Womens Rest
000d6f0014581546,meter,Bath 1 Cold,meter delayed,2025-06-25 23:25:51.000000 UTC,2023-02-26 15:58:44.000000 UTC,GA,27.7,076e2ed781709c14d1fe5bb7f0d6cbf3,2025-06-29 08:09:36.871599 UTC,Arbor Lake,Arbor Lake | Clubhouse | Womens Rest | Bath 1 Cold | 0 Bd - 0 Ba | 81546,Dominium,1,12,Common Area,0,0,2nd Stall
000d6f00145817ab,meter,Full Bath Sink Cold,meter delayed,2025-06-25 23:29:50.000000 UTC,2023-02-26 15:58:03.000000 UTC,GA,0.7,29ca3a6186ed552d8443d27db2d0ecca,2025-06-29 08:09:36.871599 UTC,Arbor Lake,Arbor Lake | Clubhouse | Womens Rm | Full Bath Sink Cold | 0 Bd - 0 Ba | 817ab,Dominium,1,12,Common Area,0,0,Womens right sink cold
000d6f0014566f66,meter,Full Bath Sink Cold,meter delayed,2025-06-25 22:36:57.000000 UTC,2023-02-26 16:17:45.000000 UTC,GA,0.2,0b1a6e20db1096d69b43f60bee440640,2025-06-29 08:09:36.871599 UTC,Arbor Lake,Arbor Lake | Clubhouse | Mens Rm | Full Bath Sink Cold | 0 Bd - 0 Ba | 66f66,Dominium,1,12,Common Area,0,0,Mens right sink cold
000d6f001456e690,meter,Full Bath Sink Cold,meter delayed,2025-06-25 23:10:14.000000 UTC,2023-02-26 16:00:16.000000 UTC,GA,0,a8bb73ab8349847f96cea39d3ca3c95b,2025-06-29 08:09:36.871599 UTC,Arbor Lake,Arbor Lake | Clubhouse | Womens Rm | Full Bath Sink Cold | 0 Bd - 0 Ba | 6e690,Dominium,1,12,Common Area,0,0,Womens left sink cold
000d6f0014426039,meter,Full Bath Sink Hot,meter delayed,2025-06-25 23:29:14.000000 UTC,2023-02-26 16:06:21.000000 UTC,GA,1.4,e945d609990fb7512b51cdd864b5e114,2025-06-29 08:09:36.871599 UTC,Arbor Lake,Arbor Lake | Clubhouse | Womens Rm | Full Bath Sink Hot | 0 Bd - 0 Ba | 26039,Dominium,1,12,Common Area,0,0,Womens right sink hot
000d6f0013cb8006,meter,Full Bath Sink Hot,meter delayed,2025-06-25 23:01:41.000000 UTC,2023-02-26 15:57:54.000000 UTC,GA,0.6,72cf3368f350741fb4818baa1bb6e417,2025-06-29 08:09:36.871599 UTC,Arbor Lake,Arbor Lake | Clubhouse | Womens Rm | Full Bath Sink Hot | 0 Bd - 0 Ba | b8006,Dominium,1,12,Common Area,0,0,Womens left sink hot
000d6f0014583d58,meter,Full Bath Sink Hot,meter delayed,2025-06-25 22:35:44.000000 UTC,2023-02-26 16:29:57.000000 UTC,GA,1.4,4d554a018e67953c90d4e2004b3d2715,2025-06-29 08:09:36.871599 UTC,Arbor Lake,Arbor Lake | Clubhouse | Mens Rm | Full Bath Sink Hot | 0 Bd - 0 Ba | 83d58,Dominium,1,12,Common Area,0,0,Mens right sink hot
000d6f0014731b1a,meter,Full Bath Sink Hot,meter delayed,2025-06-25 23:22:03.000000 UTC,2023-02-26 16:10:30.000000 UTC,GA,0.7,7779e1dc5a5027d0dde00f71fe9d020f,2025-06-29 08:09:36.871599 UTC,Arbor Lake,Arbor Lake | Clubhouse | Mens Rm | Full Bath Sink Hot | 0 Bd - 0 Ba | 31b1a,Dominium,1,12,Common Area,0,0,Mens left sink hot
000d6f001413dad3,meter,Main Feed Single,meter delayed,2025-06-25 17:35:24.000000 UTC,2023-02-26 16:10:53.000000 UTC,GA,80.2,59aa98bd5c9ee1114f9e14370fa55bda,2025-06-29 08:09:36.871599 UTC,Arbor Lake,Arbor Lake | 01 | 1113 | Main Single Feed - SPOE | 2 Bd - 2 Ba | 3dad3,Dominium,1,12,SPOE,2,2,None
000d6f0013cb877c,meter,Main Feed Single,meter delayed,2025-06-25 23:08:08.000000 UTC,2023-02-26 16:23:14.000000 UTC,GA,504.1,6266e218f46e773a34d43be118eb39dc,2025-06-29 08:09:36.871599 UTC,Arbor Lake,Arbor Lake | 01 | 1323 | Main Single Feed - SPOE | 2 Bd - 2 Ba | b877c,Dominium,1,12,SPOE,2,2,None
000d6f0014580e0e,meter,Main Feed Single,meter delayed,2025-06-25 22:42:35.000000 UTC,2023-02-26 16:07:38.000000 UTC,GA,36.1,440216d2a806bb950317d8a6572e20a8,2025-06-29 08:09:36.871599 UTC,Arbor Lake,Arbor Lake | 09 | 9313 | Main Single Feed - SPOE | 1 Bd - 1 Ba | 80e0e,Dominium,1,12,SPOE,1,1,None
